Token,Lexeme,Form,Stem,Rule
βουλῇ,lsj.n20600,forms.2010002300,nounstems.n20600,nouninfl.h_hs3
βουλήν,lsj.n20600,forms.2010002400,nounstems.n20600,nouninfl.h_hs4
βουλή,lsj.n20600,forms.2010002500,nounstems.n20600,nouninfl.h_hs5
βουλαί,lsj.n20600,forms.2030002100,nounstems.n20600,nouninfl.h_hs6
βουλῶν,lsj.n20600,forms.2030002200,nounstems.n20600,nouninfl.h_hs7
βουλαῖς,lsj.n20600,forms.2030002300,nounstems.n20600,nouninfl.h_hs8
βουλάς,lsj.n20600,forms.2030002400,nounstems.n20600,nouninfl.h_hs9
βουλαί,lsj.n20600,forms.2030002500,nounstems.n20600,nouninfl.h_hs10
γνώμη,lsj.n22502,forms.2010002100,nounstems.n22502,nouninfl.h_hs1
γνώμης,lsj.n22502,forms.2010002200,nounstems.n22502,nouninfl.h_hs2
γνώμῃ,lsj.n22502,forms.2010002300,nounstems.n22502,nouninfl.h_hs3
γνώμην,lsj.n22502,forms.2010002400,nounstems.n22502,nouninfl.h_hs4
γνώμη,lsj.n22502,forms.2010002500,nounstems.n22502,nouninfl.h_hs5
γνῶμαι,lsj.n22502,forms.2030002100,nounstems.n22502,nouninfl.h_hs6
γνωμῶν,lsj.n22502,forms.2030002200,nounstems.n22502,nouninfl.h_hs7
γνώμαις,lsj.n22502,forms.2030002300,nounstems.n22502,nouninfl.h_hs8
γνώμας,lsj.n22502,forms.2030002400,nounstems.n22502,nouninfl.h_hs9
γνῶμαι,lsj.n22502,forms.2030002500,nounstems.n22502,nouninfl.h_hs10
οἰκία,lsj.n72287,forms.2010002100,nounstems.n72287,nouninfl.a_as1
οἰκίας,lsj.n72287,forms.2010002200,nounstems.n72287,nouninfl.a_as2
οἰκίᾳ,lsj.n72287,forms.2010002300,nounstems.n72287,nouninfl.a_as3
οἰκίαν,lsj.n72287,forms.2010002400,nounstems.n72287,nouninfl.a_as4
οἰκία,lsj.n72287,forms.2010002500,nounstems.n72287,nouninfl.a_as5
οἰκίαι,lsj.n72287,forms.2030002100,nounstems.n72287,nouninfl.a_as6
οἰκιῶν,lsj.n72287,forms.2030002200,nounstems.n72287,nouninfl.a_as7
οἰκίαις,lsj.n72287,forms.2030002300,nounstems.n72287,nouninfl.a_as8
οἰκίας,lsj.n72287,forms.2030002400,nounstems.n72287,nouninfl.a_as9
οἰκίαι,lsj.n72287,forms.2030002500,nounstems.n72287,nouninfl.a_as10
πολίτης,lsj.n84511,forms.2010001100,nounstems.n84511,nouninfl.hs_ou1
πολίτου,lsj.n84511,forms.2010001200,nounstems.n84511,nouninfl.hs_ou2
πολίτῃ,lsj.n84511,forms.2010001300,nounstems.n84511,nouninfl.hs_ou3
πολίτην,lsj.n84511,forms.2010001400,nounstems.n84511,nouninfl.hs_ou4
πολίτα,lsj.n84511,forms.2010001500,nounstems.n84511,nouninfl.hs_ou5
πολίται,lsj.n84511,forms.2030001100,nounstems.n84511,nouninfl.hs_ou6
πολίτων,lsj.n84511,forms.2030001200,nounstems.n84511,nouninfl.hs_ou7
πολίταις,lsj.n84511,forms.2030001300,nounstems.n84511,nouninfl.hs_ou8
πολίτας,lsj.n84511,forms.2030001400,nounstems.n84511,nouninfl.hs_ou9
πολίται,lsj.n84511,forms.2030001500,nounstems.n84511,nouninfl.hs_ou10
ἄνθρωπος,lsj.n8909,forms.2010001100,nounstems.n8909,nouninfl.os_ou1
ἀνθρώπου,lsj.n8909,forms.2010001200,nounstems.n8909,nouninfl.os_ou2
ἀνθρώπῳ,lsj.n8909,forms.2010001300,nounstems.n8909,nouninfl.os_ou3
ἄνθρωπον,lsj.n8909,forms.2010001400,nounstems.n8909,nouninfl.os_ou4
ἄνθρωπε,lsj.n8909,forms.2010001500,nounstems.n8909,nouninfl.os_ou5
ἄνθρωποι,lsj.n8909,forms.2030001100,nounstems.n8909,nouninfl.os_ou6
ἀνθρώπων,lsj.n8909,forms.2030001200,nounstems.n8909,nouninfl.os_ou7
ἀνθρώποις,lsj.n8909,forms.2030001300,nounstems.n8909,nouninfl.os_ou8
ἀνθρώπους,lsj.n8909,forms.2030001400,nounstems.n8909,nouninfl.os_ou9
ἄνθρωποι,lsj.n8909,forms.2030001500,nounstems.n8909,nouninfl.os_ou10
δῶρον,lsj.n29828,forms.2010003100,nounstems.n29828,nouninfl.os_ou11
δώρου,lsj.n29828,forms.2010003200,nounstems.n29828,nouninfl.os_ou12
δώρῳ,lsj.n29828,forms.2010003300,nounstems.n29828,nouninfl.os_ou13
δῶρον,lsj.n29828,forms.2010003400,nounstems.n29828,nouninfl.os_ou14
δῶρον,lsj.n29828,forms.2010003500,nounstems.n29828,nouninfl.os_ou15
δῶρα,lsj.n29828,forms.2030003100,nounstems.n29828,nouninfl.os_ou16
δώρων,lsj.n29828,forms.2030003200,nounstems.n29828,nouninfl.os_ou17
δώροις,lsj.n29828,forms.2030003300,nounstems.n29828,nouninfl.os_ou18
δῶρα,lsj.n29828,forms.2030003400,nounstems.n29828,nouninfl.os_ou19
δῶρα,lsj.n29828,forms.2030003500,nounstems.n29828,nouninfl.os_ou20
ἔπος,lsj.n41858,forms.2010003100,nounstems.n41858,nouninfl.os_ous1
ἔπους,lsj.n41858,forms.2010003200,nounstems.n41858,nouninfl.os_ous2
ἔπει,lsj.n41858,forms.2010003300,nounstems.n41858,nouninfl.os_ous3
ἔπος,lsj.n41858,forms.2010003400,nounstems.n41858,nouninfl.os_ous4
ἔπη,lsj.n41858,forms.2030003100,nounstems.n41858,nouninfl.os_ous5
ἔπων,lsj.n41858,forms.2030003200,nounstems.n41858,nouninfl.os_ous6
ἔπεσι,lsj.n41858,forms.2030003300,nounstems.n41858,nouninfl.os_ous7
ἔπεσιν,lsj.n41858,forms.2030003300,nounstems.n41858,nouninfl.os_ous7b
ἔπη,lsj.n41858,forms.2030003400,nounstems.n41858,nouninfl.os_ous8
ἔπος,lsj.n41858,forms.2010003500,nounstems.n41858,nouninfl.os_ous9
ἔπη,lsj.n41858,forms.2010003500,nounstems.n41858,nouninfl.os_ous10
νόημα,lsj.n70911,forms.2010003100,nounstems.n70911,nouninfl.ma_matos11
νοήματος,lsj.n70911,forms.2010003200,nounstems.n70911,nouninfl.ma_matos12
νοήματι,lsj.n70911,forms.2010003300,nounstems.n70911,nouninfl.ma_matos13
νόημα,lsj.n70911,forms.2010003400,nounstems.n70911,nouninfl.ma_matos14
νόημα,lsj.n70911,forms.2010003500,nounstems.n70911,nouninfl.ma_matos15
νοήματα,lsj.n70911,forms.2030003100,nounstems.n70911,nouninfl.ma_matos16
νοημάτων,lsj.n70911,forms.2030003200,nounstems.n70911,nouninfl.ma_matos17
νοήμασι,lsj.n70911,forms.2030003300,nounstems.n70911,nouninfl.ma_matos18
νοήμασιν,lsj.n70911,forms.2030003300,nounstems.n70911,nouninfl.ma_matos18a
νοήματα,lsj.n70911,forms.2030003400,nounstems.n70911,nouninfl.ma_matos19
νοήματα,lsj.n70911,forms.2030003500,nounstems.n70911,nouninfl.ma_matos20
ἐλπίς,lsj.n33903,forms.2010002100,nounstems.n33903,nouninfl.is_idos11
ἐλπιδnothingς,lsj.n33903,forms.2010002200,nounstems.n33903,nouninfl.is_idos12
ἐλπιδῖ,lsj.n33903,forms.2010002300,nounstems.n33903,nouninfl.is_idos13
ἐλπιδά,lsj.n33903,forms.2010002400,nounstems.n33903,nouninfl.is_idos14
ἐλπί,lsj.n33903,forms.2010002500,nounstems.n33903,nouninfl.is_idos15
ἐλπιδές,lsj.n33903,forms.2030002100,nounstems.n33903,nouninfl.is_idos16
ἐλπιδῶν,lsj.n33903,forms.2030002200,nounstems.n33903,nouninfl.is_idos17
ἐλπισῖ,lsj.n33903,forms.2030002300,nounstems.n33903,nouninfl.is_idos18
ἐλπισῖν,lsj.n33903,forms.2030002300,nounstems.n33903,nouninfl.is_idos18a
ἐλπιδές,lsj.n33903,forms.2030002400,nounstems.n33903,nouninfl.is_idos19
ἐλπιδές,lsj.n33903,forms.2030002500,nounstems.n33903,nouninfl.is_idos20
ἐσθής,lsj.n42887,forms.2010002100,nounstems.n42887,nouninfl.hs_htos11
ἐσθητnothingς,lsj.n42887,forms.2010002200,nounstems.n42887,nouninfl.hs_htos12
ἐσθητῖ,lsj.n42887,forms.2010002300,nounstems.n42887,nouninfl.hs_htos13
ἐσθητά,lsj.n42887,forms.2010002400,nounstems.n42887,nouninfl.hs_htos14
ἐσθής,lsj.n42887,forms.2010002500,nounstems.n42887,nouninfl.hs_htos15
ἐσθητές,lsj.n42887,forms.2030002100,nounstems.n42887,nouninfl.hs_htos16
ἐσθητῶν,lsj.n42887,forms.2030002200,nounstems.n42887,nouninfl.hs_htos17
ἐσθησῖ,lsj.n42887,forms.2030002300,nounstems.n42887,nouninfl.hs_htos18
ἐσθησῖν,lsj.n42887,forms.2030002300,nounstems.n42887,nouninfl.hs_htos18a
ἐσθητές,lsj.n42887,forms.2030002400,nounstems.n42887,nouninfl.hs_htos19
ἐσθητές,lsj.n42887,forms.2030002500,nounstems.n42887,nouninfl.hs_htos20
εὐθυντήρ,lsj.n44071,forms.2010001100,nounstems.n44071,nouninfl.0_os11
εὐθυντηρnothingς,lsj.n44071,forms.2010001200,nounstems.n44071,nouninfl.0_os12
εὐθυντηρῖ,lsj.n44071,forms.2010001300,nounstems.n44071,nouninfl.0_os13
εὐθυντηρά,lsj.n44071,forms.2010001400,nounstems.n44071,nouninfl.0_os14
εὐθυντήρ,lsj.n44071,forms.2010001500,nounstems.n44071,nouninfl.0_os15
εὐθυντηρές,lsj.n44071,forms.2030001100,nounstems.n44071,nouninfl.0_os16
εὐθυντηρῶν,lsj.n44071,forms.2030001200,nounstems.n44071,nouninfl.0_os17
εὐθυντηρσῖ,lsj.n44071,forms.2030001300,nounstems.n44071,nouninfl.0_os18
εὐθυντηρσῖν,lsj.n44071,forms.2030001300,nounstems.n44071,nouninfl.0_os18a
εὐθυντηρές,lsj.n44071,forms.2030001400,nounstems.n44071,nouninfl.0_os19
εὐθυντηρές,lsj.n44071,forms.2030001500,nounstems.n44071,nouninfl.0_os20
πόλις,lsj.n84494,forms.2010002100,nounstems.n84494,nouninfl.is_ews11
πόλεως,lsj.n84494,forms.2010002200,nounstems.n84494,nouninfl.is_ews12
πόλει,lsj.n84494,forms.2010002300,nounstems.n84494,nouninfl.is_ews13
πόλιν,lsj.n84494,forms.2010002400,nounstems.n84494,nouninfl.is_ews14
πόλι,lsj.n84494,forms.2010002500,nounstems.n84494,nouninfl.is_ews15
πόλεις,lsj.n84494,forms.2030002100,nounstems.n84494,nouninfl.is_ews16
πόλεων,lsj.n84494,forms.2030002200,nounstems.n84494,nouninfl.is_ews17
πόλεσι,lsj.n84494,forms.2030002300,nounstems.n84494,nouninfl.is_ews18
πόλεσιν,lsj.n84494,forms.2030002300,nounstems.n84494,nouninfl.is_ews18a
πόλεις,lsj.n84494,forms.2030002400,nounstems.n84494,nouninfl.is_ews19
πόλεις,lsj.n84494,forms.2030002500,nounstems.n84494,nouninfl.is_ews20
ὁ,lsj.n71882,forms.9010001100,pronoun.n71882a,proninfl.pronouns1
τοῦ,lsj.n71882,forms.9010001200,pronoun.n71882b,proninfl.pronouns1
τῷ,lsj.n71882,forms.9010001300,pronoun.n71882c,proninfl.pronouns1
τόν,lsj.n71882,forms.9010001400,pronoun.n71882d,proninfl.pronouns1
οἱ,lsj.n71882,forms.9030001100,pronoun.n71882e,proninfl.pronouns1
τῶν,lsj.n71882,forms.9030001200,pronoun.n71882f,proninfl.pronouns1
τοῖς,lsj.n71882,forms.9030001300,pronoun.n71882g,proninfl.pronouns1
τούς,lsj.n71882,forms.9030001400,pronoun.n71882h,proninfl.pronouns1
ἡ,lsj.n71882,forms.9010002100,pronoun.n71882i,proninfl.pronouns1
τῆς,lsj.n71882,forms.9010002200,pronoun.n71882j,proninfl.pronouns1
τῇ,lsj.n71882,forms.9010002300,pronoun.n71882k,proninfl.pronouns1
τήν,lsj.n71882,forms.9010002400,pronoun.n71882l,proninfl.pronouns1
αἱ,lsj.n71882,forms.9030002100,pronoun.n71882m,proninfl.pronouns1
τῶν,lsj.n71882,forms.9030002200,pronoun.n71882n,proninfl.pronouns1
ταῖς,lsj.n71882,forms.9030002300,pronoun.n71882o,proninfl.pronouns1
τάς,lsj.n71882,forms.9030002400,pronoun.n71882p,proninfl.pronouns1
τό,lsj.n71882,forms.9010003100,pronoun.n71882q,proninfl.pronouns1
τοῦ,lsj.n71882,forms.9010003200,pronoun.n71882r,proninfl.pronouns1
τῷ,lsj.n71882,forms.9010003300,pronoun.n71882s,proninfl.pronouns1
τό,lsj.n71882,forms.9010003400,pronoun.n71882t,proninfl.pronouns1
τά,lsj.n71882,forms.9030003100,pronoun.n71882u,proninfl.pronouns1
τῶν,lsj.n71882,forms.9030003200,pronoun.n71882v,proninfl.pronouns1
τοῖς,lsj.n71882,forms.9030003300,pronoun.n71882w,proninfl.pronouns1
τά,lsj.n71882,forms.9030003400,pronoun.n71882x,proninfl.pronouns1
ἐκεῖνος,lsj.n31951,forms.9010001100,pronoun.n31951a,proninfl.pronouns1
ἐκείνου,lsj.n31951,forms.9010001200,pronoun.n31951b,proninfl.pronouns1
ἐκείνῳ,lsj.n31951,forms.9010001300,pronoun.n31951c,proninfl.pronouns1
ἐκεῖνον,lsj.n31951,forms.9010001400,pronoun.n31951d,proninfl.pronouns1
ἐκεῖνοι,lsj.n31951,forms.9030001100,pronoun.n31951e,proninfl.pronouns1
ἐκείνων,lsj.n31951,forms.9030001200,pronoun.n31951f,proninfl.pronouns1
ἐκείνοις,lsj.n31951,forms.9030001300,pronoun.n31951g,proninfl.pronouns1
ἐκείνους,lsj.n31951,forms.9030001400,pronoun.n31951h,proninfl.pronouns1
ἐκείνη,lsj.n31951,forms.9010002100,pronoun.n31951i,proninfl.pronouns1
ἐκείνης,lsj.n31951,forms.9010002200,pronoun.n31951j,proninfl.pronouns1
ἐκείνῃ,lsj.n31951,forms.9010002300,pronoun.n31951k,proninfl.pronouns1
ἐκείνην,lsj.n31951,forms.9010002400,pronoun.n31951l,proninfl.pronouns1
ἐκεῖναι,lsj.n31951,forms.9030002100,pronoun.n31951m,proninfl.pronouns1
ἐκείνων,lsj.n31951,forms.9030002200,pronoun.n31951n,proninfl.pronouns1
ἐκείναις,lsj.n31951,forms.9030002300,pronoun.n31951o,proninfl.pronouns1
ἐκείνας,lsj.n31951,forms.9030002400,pronoun.n31951p,proninfl.pronouns1
ἐκεῖνο,lsj.n31951,forms.9010003100,pronoun.n31951q,proninfl.pronouns1
ἐκείνου,lsj.n31951,forms.9010003200,pronoun.n31951r,proninfl.pronouns1
ἐκείνῳ,lsj.n31951,forms.9010003300,pronoun.n31951s,proninfl.pronouns1
ἐκεῖνο,lsj.n31951,forms.9010003400,pronoun.n31951t,proninfl.pronouns1
ἐκεῖνα,lsj.n31951,forms.9030003100,pronoun.n31951u,proninfl.pronouns1
ἐκείνων,lsj.n31951,forms.9030003200,pronoun.n31951v,proninfl.pronouns1
ἐκείνοις,lsj.n31951,forms.9030003300,pronoun.n31951w,proninfl.pronouns1
ἐκεῖνο,lsj.n31951,forms.9030003400,pronoun.n31951x,proninfl.pronouns1
καί,lsj.n51951,forms.1000000001,uninflectedstems.n51951,uninfl.uninfl2
τίμησον,lsj.n103972,forms.3213410000,verbstems.n103972,verbinfl.awaorimp1
τιμησάτω,lsj.n103972,forms.3313410000,verbstems.n103972,verbinfl.awaorimp2
τιμήσατε,lsj.n103972,forms.3233410000,verbstems.n103972,verbinfl.awaorimp3
τιμησάντων,lsj.n103972,forms.3333410000,verbstems.n103972,verbinfl.awaorimp4
τίμησαι,lsj.n103972,forms.3213420000,verbstems.n103972,verbinfl.awaorimp5
τιμησάσθω,lsj.n103972,forms.3313420000,verbstems.n103972,verbinfl.awaorimp6
τιμήσασθε,lsj.n103972,forms.3233420000,verbstems.n103972,verbinfl.awaorimp7
τιμησάσθων,lsj.n103972,forms.3333420000,verbstems.n103972,verbinfl.awaorimp8
τιμήσθητι,lsj.n103972,forms.3213430000,verbstems.n103972,verbinfl.awaorimp9
τιμησθήτω,lsj.n103972,forms.3313430000,verbstems.n103972,verbinfl.awaorimp10
τιμήσθητε,lsj.n103972,forms.3233430000,verbstems.n103972,verbinfl.awaorimp11
τιμησθέντων,lsj.n103972,forms.3333430000,verbstems.n103972,verbinfl.awaorimp12
ἐτίμησα,lsj.n103972,forms.3113110000,verbstems.n103972,verbinfl.awaor1
ἐτιμησάμην,lsj.n103972,forms.3113120000,verbstems.n103972,verbinfl.awaor2
ἐτιμήθην,lsj.n103972,forms.3113130000,verbstems.n103972,verbinfl.awaor3
ἐτίμησας,lsj.n103972,forms.3213110000,verbstems.n103972,verbinfl.awaor4
ἐτιμήσω,lsj.n103972,forms.3213120000,verbstems.n103972,verbinfl.awaor5
ἐτιμήθης,lsj.n103972,forms.3213130000,verbstems.n103972,verbinfl.awaor6
ἐτίμησε,lsj.n103972,forms.3313110000,verbstems.n103972,verbinfl.awaor7
ἐτιμήσατο,lsj.n103972,forms.3313120000,verbstems.n103972,verbinfl.awaor8
ἐτιμήθη,lsj.n103972,forms.3313130000,verbstems.n103972,verbinfl.awaor9
ἐτιμήσαμεν,lsj.n103972,forms.3133110000,verbstems.n103972,verbinfl.awaor10
ἐτιμησάμεθα,lsj.n103972,forms.3133120000,verbstems.n103972,verbinfl.awaor11
ἐτιμήθημεν,lsj.n103972,forms.3133130000,verbstems.n103972,verbinfl.awaor12
ἐτιμήσατε,lsj.n103972,forms.3233110000,verbstems.n103972,verbinfl.awaor13
ἐτιμήσασθε,lsj.n103972,forms.3233120000,verbstems.n103972,verbinfl.awaor14
ἐτιμήθητε,lsj.n103972,forms.3233130000,verbstems.n103972,verbinfl.awaor15
ἐτίμησαν,lsj.n103972,forms.3333110000,verbstems.n103972,verbinfl.awaor16
ἐτιμήσαντο,lsj.n103972,forms.3333120000,verbstems.n103972,verbinfl.awaor17
ἐτιμήθησαν,lsj.n103972,forms.3333130000,verbstems.n103972,verbinfl.awaor18
τιμήσαιμι,lsj.n103972,forms.3113310000,verbstems.n103972,verbinfl.awaoropt1
τιμησαίμην,lsj.n103972,forms.3113320000,verbstems.n103972,verbinfl.awaoropt2
τιμηθείην,lsj.n103972,forms.3113330000,verbstems.n103972,verbinfl.awaoropt3
τιμήσαις,lsj.n103972,forms.3213310000,verbstems.n103972,verbinfl.awaoropt4
τιμήσειας,lsj.n103972,forms.3213310000,verbstems.n103972,verbinfl.awaoropt4a
τιμήσαιο,lsj.n103972,forms.3213320000,verbstems.n103972,verbinfl.awaoropt5
τιμηθείη,lsj.n103972,forms.3213330000,verbstems.n103972,verbinfl.awaoropt6
τίμησαι,lsj.n103972,forms.3313310000,verbstems.n103972,verbinfl.awaoropt7
τιμήσειε,lsj.n103972,forms.3313310000,verbstems.n103972,verbinfl.awaoropt7a
τιμήσαιτο,lsj.n103972,forms.3313320000,verbstems.n103972,verbinfl.awaoropt8
τιμηθείη,lsj.n103972,forms.3313330000,verbstems.n103972,verbinfl.awaoropt9
τιμήσαιμεν,lsj.n103972,forms.3133310000,verbstems.n103972,verbinfl.awaoropt10
τιμησαίμεθα,lsj.n103972,forms.3133320000,verbstems.n103972,verbinfl.awaoropt11
τιμηθεῖμεν,lsj.n103972,forms.3133330000,verbstems.n103972,verbinfl.awaoropt12
τιμήσαιτε,lsj.n103972,forms.3233310000,verbstems.n103972,verbinfl.awaoropt13
τιμήσαισθε,lsj.n103972,forms.3233320000,verbstems.n103972,verbinfl.awaoropt14
τιμηθεῖτε,lsj.n103972,forms.3233330000,verbstems.n103972,verbinfl.awaoropt15
τιμήσαιεν,lsj.n103972,forms.3333310000,verbstems.n103972,verbinfl.awaoropt16
τιμήσαιντο,lsj.n103972,forms.3333320000,verbstems.n103972,verbinfl.awaoropt17
τιμηθεῖεν,lsj.n103972,forms.3333330000,verbstems.n103972,verbinfl.awaoropt18
τιμήσω,lsj.n103972,forms.3113210000,verbstems.n103972,verbinfl.awaorsubj1
τιμήσωμαι,lsj.n103972,forms.3113220000,verbstems.n103972,verbinfl.awaorsubj2
τιμηθῶ,lsj.n103972,forms.3113230000,verbstems.n103972,verbinfl.awaorsubj3
τιμήσῃς,lsj.n103972,forms.3213210000,verbstems.n103972,verbinfl.awaorsubj4
τιμήσῃ,lsj.n103972,forms.3213220000,verbstems.n103972,verbinfl.awaorsubj5
τιμηθῇς,lsj.n103972,forms.3213230000,verbstems.n103972,verbinfl.awaorsubj6
τιμήσῃ,lsj.n103972,forms.3313210000,verbstems.n103972,verbinfl.awaorsubj7
τιμήσηται,lsj.n103972,forms.3313220000,verbstems.n103972,verbinfl.awaorsubj8
τιμηθῇ,lsj.n103972,forms.3313230000,verbstems.n103972,verbinfl.awaorsubj9
τιμήσωμεν,lsj.n103972,forms.3133210000,verbstems.n103972,verbinfl.awaorsubj10
τιμησώμεθα,lsj.n103972,forms.3133220000,verbstems.n103972,verbinfl.awaorsubj11
τιμηθῶμεν,lsj.n103972,forms.3133230000,verbstems.n103972,verbinfl.awaorsubj12
τιμησήσετε,lsj.n103972,forms.3233210000,verbstems.n103972,verbinfl.awaorsubj13
τιμήσησθε,lsj.n103972,forms.3233220000,verbstems.n103972,verbinfl.awaorsubj14
τιμηθῆτε,lsj.n103972,forms.3233230000,verbstems.n103972,verbinfl.awaorsubj15
τιμήσωσι,lsj.n103972,forms.3333210000,verbstems.n103972,verbinfl.awaorsubj16
τιμήσωσιν,lsj.n103972,forms.3333210000,verbstems.n103972,verbinfl.awaorsubj16a
τιμήσωνται,lsj.n103972,forms.3333220000,verbstems.n103972,verbinfl.awaorsubj17
τιμηθῶσι,lsj.n103972,forms.3333230000,verbstems.n103972,verbinfl.awaorsubj18
τιμηθῶσιν,lsj.n103972,forms.3333230000,verbstems.n103972,verbinfl.awaorsubj18a
τιμήσω,lsj.n103972,forms.3116110000,verbstems.n103972,verbinfl.awfut1
τιμήσομαι,lsj.n103972,forms.3116120000,verbstems.n103972,verbinfl.awfut2
τιμηθήσομαι,lsj.n103972,forms.3116130000,verbstems.n103972,verbinfl.awfut3
τιμήσεις,lsj.n103972,forms.3216110000,verbstems.n103972,verbinfl.awfut4
τιμήσει,lsj.n103972,forms.3216120000,verbstems.n103972,verbinfl.awfut5
τιμηθήσεις,lsj.n103972,forms.3216130000,verbstems.n103972,verbinfl.awfut6
τιμήσει,lsj.n103972,forms.3316110000,verbstems.n103972,verbinfl.awfut7
τιμήσεται,lsj.n103972,forms.3316120000,verbstems.n103972,verbinfl.awfut8
τιμηθήσει,lsj.n103972,forms.3316130000,verbstems.n103972,verbinfl.awfut9
τιμήσομεν,lsj.n103972,forms.3136110000,verbstems.n103972,verbinfl.awfut10
τιμησόμεθα,lsj.n103972,forms.3136120000,verbstems.n103972,verbinfl.awfut11
τιμηθησόμεθα,lsj.n103972,forms.3136130000,verbstems.n103972,verbinfl.awfut12
τιμήσετε,lsj.n103972,forms.3236110000,verbstems.n103972,verbinfl.awfut13
τιμήσεσθε,lsj.n103972,forms.3236120000,verbstems.n103972,verbinfl.awfut14
τιμηθήσεσθε,lsj.n103972,forms.3236130000,verbstems.n103972,verbinfl.awfut15
τιμήσουσι,lsj.n103972,forms.3336110000,verbstems.n103972,verbinfl.awfut16
τιμήσουσιν,lsj.n103972,forms.3336110000,verbstems.n103972,verbinfl.awfut16a
τιμήσονται,lsj.n103972,forms.3336120000,verbstems.n103972,verbinfl.awfut17
τιμηθήσονται,lsj.n103972,forms.3336130000,verbstems.n103972,verbinfl.awfut18
τιμήσοιμι,lsj.n103972,forms.3116310000,verbstems.n103972,verbinfl.awfutopt1
τιμησοίμην,lsj.n103972,forms.3116320000,verbstems.n103972,verbinfl.awfutopt2
τιμηθησοίμην,lsj.n103972,forms.3116330000,verbstems.n103972,verbinfl.awfutopt3
τιμήσοις,lsj.n103972,forms.3216310000,verbstems.n103972,verbinfl.awfutopt4
τιμήσοιο,lsj.n103972,forms.3216320000,verbstems.n103972,verbinfl.awfutopt5
τιμηθήσοιο,lsj.n103972,forms.3216330000,verbstems.n103972,verbinfl.awfutopt6
τίμησοι,lsj.n103972,forms.3316310000,verbstems.n103972,verbinfl.awfutopt7
τιμήσοιτο,lsj.n103972,forms.3316320000,verbstems.n103972,verbinfl.awfutopt8
τιμηθήσοιτο,lsj.n103972,forms.3316330000,verbstems.n103972,verbinfl.awfutopt9
τιμήσοιμεν,lsj.n103972,forms.3136310000,verbstems.n103972,verbinfl.awfutopt10
τιμησοίμεθα,lsj.n103972,forms.3136320000,verbstems.n103972,verbinfl.awfutopt11
τιμηθησοίμην,lsj.n103972,forms.3136330000,verbstems.n103972,verbinfl.awfutopt12
τιμήσοιτε,lsj.n103972,forms.3236310000,verbstems.n103972,verbinfl.awfutopt13
τιμήσοισθε,lsj.n103972,forms.3236320000,verbstems.n103972,verbinfl.awfutopt14
τιμηθήσοισθε,lsj.n103972,forms.3236330000,verbstems.n103972,verbinfl.awfutopt15
τιμήσοιεν,lsj.n103972,forms.3336310000,verbstems.n103972,verbinfl.awfutopt16
τιμήσοιντο,lsj.n103972,forms.3336320000,verbstems.n103972,verbinfl.awfutopt17
τιμηθήσοιντο,lsj.n103972,forms.3336330000,verbstems.n103972,verbinfl.awfutopt18
